UniProtId,GO_ID,GO_Name,Namespace
P99999,GO:0043293,apoptosome,cellular_component
P99999,GO:0005829,cytosol,cellular_component
P99999,GO:0005743,mitochondrial inner membrane,cellular_component
P99999,GO:0005758,mitochondrial intermembrane space,cellular_component
P99999,GO:0005739,mitochondrion,cellular_component
P99999,GO:0005634,nucleus,cellular_component
P99999,GO:0070469,respirasome,cellular_component
P99999,GO:0009055,electron transfer activity,molecular_function
P99999,GO:0020037,heme binding,molecular_function
P99999,GO:0046872,metal ion binding,molecular_function
P99999,GO:0008635,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,biological_process
P99999,GO:0045333,cellular respiration,biological_process
P99999,GO:0097193,intrinsic apoptotic signaling pathway,biological_process
P99999,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P99999,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P62897,GO:0043293,apoptosome,cellular_component
P62897,GO:0005829,cytosol,cellular_component
P62897,GO:0005758,mitochondrial intermembrane space,cellular_component
P62897,GO:0005739,mitochondrion,cellular_component
P62897,GO:0043209,myelin sheath,cellular_component
P62897,GO:0070469,respirasome,cellular_component
P62897,GO:0009055,electron transfer activity,molecular_function
P62897,GO:0019899,enzyme binding,molecular_function
P62897,GO:0020037,heme binding,molecular_function
P62897,GO:0046872,metal ion binding,molecular_function
P62897,GO:0006915,apoptotic process,biological_process
P62897,GO:0042743,hydrogen peroxide metabolic process,biological_process
P62897,GO:0097193,intrinsic apoptotic signaling pathway,biological_process
P62897,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P62897,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P00015,GO:0005758,mitochondrial intermembrane space,cellular_component
P00015,GO:0005739,mitochondrion,cellular_component
P00015,GO:0070469,respirasome,cellular_component
P00015,GO:0009055,electron transfer activity,molecular_function
P00015,GO:0020037,heme binding,molecular_function
P00015,GO:0046872,metal ion binding,molecular_function
P00015,GO:0006915,apoptotic process,biological_process
P00015,GO:0042743,hydrogen peroxide metabolic process,biological_process
P00015,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P00015,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P00015,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,biological_process
P19974,GO:0005758,mitochondrial intermembrane space,cellular_component
P19974,GO:0070469,respirasome,cellular_component
P19974,GO:0009055,electron transfer activity,molecular_function
P19974,GO:0020037,heme binding,molecular_function
P19974,GO:0046872,metal ion binding,molecular_function
P19974,GO:0022900,electron transport chain,biological_process
P19974,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P19974,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P00044,GO:0005758,mitochondrial intermembrane space,cellular_component
P00044,GO:0005739,mitochondrion,cellular_component
P00044,GO:0070469,respirasome,cellular_component
P00044,GO:0009055,electron transfer activity,molecular_function
P00044,GO:0020037,heme binding,molecular_function
P00044,GO:0046872,metal ion binding,molecular_function
P00044,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
P00044,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process
P62894,GO:0005758,mitochondrial intermembrane space,cellular_component
P62894,GO:0070469,respirasome,cellular_component
P62894,GO:0009055,electron transfer activity,molecular_function
P62894,GO:0020037,heme binding,molecular_function
P62894,GO:0046872,metal ion binding,molecular_function
P62894,GO:0006915,apoptotic process,biological_process
P62894,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
